Договор,Дата_документа,Документ,Описание_работ,Тип_работ,Месторождение,Скважина,Сумма,НДС
Договор 111,2020-09-01,Акт об оказании производственных услуг ДРЛ00000490 от 01.09.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Мобилизация м/р Западно-Усть-Балыкское куст 6 скважина 37, шт",Мобилизация,Западно-Усть-Балыкское,37,35669772.46,5944962.08
Договор 111,2020-11-02,Акт об оказании производственных услуг ДРЛ00000619 от 02.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 9 скважина 917, шт",Бурение,Западно-Усть-Балыкское,917,28405178.52,4734196.42
Договор 111,2020-11-02,Акт об оказании производственных услуг ДРЛ00000619 от 02.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 9 скважина 917, шт",Демонтаж,Западно-Усть-Балыкское,917,2812412.63,468735.44
Договор 111,2020-11-02,Акт об оказании производственных услуг ДРЛ00000619 от 02.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 9 скважина 917, шт",Монтаж,Западно-Усть-Балыкское,917,4567218.89,761203.15
Договор 111,2020-11-02,Акт об оказании производственных услуг ДРЛ00000619 от 02.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 9 скважина 917, шт",Переезд,Западно-Усть-Балыкское,917,5793675.68,965612.61
Договор 111,2020-11-13,Акт об оказании производственных услуг ДРЛ00000616 от 13.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 6 скважина 37, шт",Бурение,Западно-Усть-Балыкское,37,30799889.71,5133314.95
Договор 111,2020-11-13,Акт об оказании производственных услуг ДРЛ00000616 от 13.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 6 скважина 37, шт",Демонтаж,Западно-Усть-Балыкское,37,2812412.63,468735.44
Договор 111,2020-11-13,Акт об оказании производственных услуг ДРЛ00000616 от 13.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 6 скважина 37, шт",Монтаж,Западно-Усть-Балыкское,37,4567218.89,761203.15
Договор 111,2020-11-28,Акт об оказании производственных услуг ДРЛ00000645 от 28.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 9 скважина 913, шт",Бурение,Западно-Усть-Балыкское,913,30594383.36,5099063.89
Договор 111,2020-11-28,Акт об оказании производственных услуг ДРЛ00000645 от 28.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 9 скважина 913, шт",Демонтаж,Западно-Усть-Балыкское,913,2812412.63,468735.44
Договор 111,2020-11-28,Акт об оказании производственных услуг ДРЛ00000645 от 28.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 9 скважина 913, шт",Монтаж,Западно-Усть-Балыкское,913,4567218.89,761203.15
Договор 111,2020-11-28,Акт об оказании производственных услуг ДРЛ00000645 от 28.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 9 скважина 913, шт",Переезд,Западно-Усть-Балыкское,913,2623247.45,437207.91
Договор 111,2020-12-24,Акт об оказании производственных услуг ДРЛ00000746 от 24.12.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 5 скважина 88, шт",Бурение,Западно-Усть-Балыкское,88,18703728.26,3117288.04
Договор 111,2020-12-24,Акт об оказании производственных услуг ДРЛ00000746 от 24.12.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 5 скважина 88, шт",Демонтаж,Западно-Усть-Балыкское,88,2812412.63,468735.44
Договор 111,2020-12-24,Акт об оказании производственных услуг ДРЛ00000746 от 24.12.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 5 скважина 88, шт",Монтаж,Западно-Усть-Балыкское,88,4567218.89,761203.15
